Game Name,Category,Steam Release date,IAP,DLC,2019 Chart,2019 category,2020 Chart,2020 category,Genres
Apex Legends,Platinum,11/05/2020,Yes,Yes,No,X,Yes,Bronze,"Action, Adventure, Free to Play "
Battlefield 2042,Platinum,11/19/2021,Yes,No,No,X,No,X,"Action, Adventure, Casual"
Counter Strike: Global Offensive,Platinum,08/21/2012,Yes,Yes,Yes,Platinum,Yes,Platinum,"Action, Free to Play"
Dead by Daylight,Platinum,06/14/2016,No,Yes,Yes,Gold,Yes,Gold,Action
Destiny 2,Platinum,10/01/2019,Yes,Yes,Yes,Platinum,Yes,Platinum,"Action, Adventure, Free to Play "
Dota 2,Platinum,07/09/2013,Yes,Yes,Yes,Platinum,Yes,Platinum,"Action, Free to Play, Strategy "
Grand Theft Auto V* *(inc. GTA Online),Platinum,04/14/2015,Yes,No,Yes,Platinum,Yes,Platinum,"Action, Adventure"
Naraka: Bladepoint,Platinum,08/12/2021,Yes,Yes,No,X,No,X,"Action, Adventure, Massively Multiplayer "
New World,Platinum,09/28/2021,Yes,No,No,X,No,X,"Action, Adventure, Massively Multiplayer, RPG"
PUBG Battlegrounds,Platinum,12/21/2017,No,Yes,Yes,Platinum,Yes,Platinum,"Action, Adventure, Free to Play, Massively Multiplayer"
Rainbow Six Siege,Platinum,12/01/2015,Yes,Yes,Yes,Platinum,Yes,Platinum,Action
Valheim,Platinum,02/02/2021,No,No,No,X,No,X,"Action, Adventure, Indie, RPG, Early Access"
Back 4 Blood,Gold,10/12/2021,No,Yes,No,X,No,X,Action
FIFA 22,Gold,10/01/2021,Yes,No,No,X,No,X,"Simulation, Sports"
Final Fantasy XIV,Gold,02/18/2014,Yes,Yes,Yes,Gold,Yes,Silver,"Massively Multiplayer, RPG"
Forza Horizon 4,Gold,03/09/2021,No,Yes,No,X,No,X,Racing
Forza Horizon 5,Gold,11/09/2021,No,Yes,No,X,No,X,Racing
It Takes Two,Gold,03/26/2021,No,No,No,X,No,X,"Action, Adventure"
Red Dead Redemption 2* (*inc RD Online),Gold,12/05/2019,Yes,No,Yes,Silver,Yes,Platinum,"Action, Adventure"
Rust,Gold,02/08/2018,Yes,Yes,Yes,Silver,Yes,Silver,"Action, Adventure, Indie, Massively Multiplayer, RPG "
Sea of Thieves,Gold,06/03/2020,Yes,No,No,X,Yes,Gold,"Action, Adventure"
The Elder Scrolls Online,Gold,04/04/2014,Yes,Yes,Yes,Platinum,Yes,Gold,
War Thunder,Gold,08/15/2013,Yes,No,Yes,Silver,Yes,Silver,
Warframe,Gold,03/25/2013,Yes,Yes,Yes,Platinum,Yes,Gold,
Age of Empires IV,Silver,10/28/2021,No,No,No,X,No,X,
Ark: Survival Evolved,Silver,08/27/2017,No,Yes,Yes,Silver,Yes,Gold,
Black Desert ,Silver,05/24/2017,Yes,No,Yes,Silver,Yes,Silver,
Civilization 6,Silver,10/21/2016,No,Yes,Yes,Platinum,Yes,Gold,
Cyberpunk 2077,Silver,12/10/2020,No,No,Yes,Bronze,Yes,Platinum,
Euro Truck Simulator 2,Silver,10/18/2012,No,Yes,Yes,Silver,Yes,Silver,
Halo Infinite,Silver,11/15/2021,Yes,No,No,X,No,X,
Mass Effect Legendary Edition,Silver,05/14/2021,No,No,No,X,No,X,
Monster Hunter World,Silver,08/09/2018,No,Yes,Yes,Platinum,Yes,Platinum,
Outriders,Silver,04/01/2021,No,Yes,No,X,No,X,
Path of Exile,Silver,10/23/2013,Yes,Yes,Yes,Gold,Yes,Silver,
Phasmophobia,Silver,09/18/2020,No,No,No,X,Yes,Gold,
Resident Evil Village,Silver,05/07/2021,No,Yes,No,X,No,X,
Stellaris,Silver,05/09/2016,No,Yes,Yes,Silver,Yes,Silver,
Team Fortress 2,Silver,10/10/2007,Yes,No,Yes,Silver,Yes,Silver,
The Sims 4,Silver,09/02/2014,No,Yes,No,X,Yes,Bronze,
Age of Empires II,Bronze,11/14/2019,No,Yes,Yes,Bronze,Yes,Bronze,
Arma 3,Bronze,09/12/2013,No,Yes,Yes,Silver,Yes,Bronze,
Baldur's Gate 3,Bronze,10/06/2020,No,No,No,X,Yes,Gold,
Battlefield V,Bronze,11/09/2020,No,Yes,No,X,No,X,
Biomutant,Bronze,05/25/2021,No,Yes,No,X,No,X,
Bloons TD6,Bronze,12/18/2018,Yes,No,No,X,No,X,
Borderlands 3,Bronze,03/13/2020,No,Yes,No,X,Yes,Gold,
